"id","country","code","status","deleted_at","created_at","updated_at"
"1","Afghanistan","AFG","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:23:01"
"2","Åland Islands","ALA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"3","Albania","ALB","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"4","Algeria","DZA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"5","American Samoa","ASM","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"6","Andorra","AND","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"7","Angola","AGO","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"8","Anguilla","AIA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"9","Antarctica","ATA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"10","Antigua and Barbuda","ATG","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"11","Argentina","ARG","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"12","Armenia","ARM","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"13","Aruba","ABW","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"14","Australia","AUS","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"15","Austria","AUT","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"16","Azerbaijan","AZE","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"17","Bahamas","BHS","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"18","Bahrain","BHR","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"19","Bangladesh","BGD","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"20","Barbados","BRB","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"21","Belarus","BLR","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"22","Belgium","BEL","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"23","Belize","BLZ","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"24","Benin","BEN","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"25","Bermuda","BMU","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"26","Bhutan","BTN","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"27","Bolivia, Plurinational State of","BOL","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"28","Bonaire, Sint Eustatius and Saba","BES","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"29","Bosnia and Herzegovina","BIH","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"30","Botswana","BWA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"31","Bouvet Island","BVT","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"32","Brazil","BRA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"33","British Indian Ocean Territory","IOT","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"34","Brunei Darussalam","BRN","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"35","Bulgaria","BGR","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"36","Burkina Faso","BFA","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"37","Burundi","BDI","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"38","Cabo Verde","CPV","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
"39","Cambodia","KHM","0",NULL,"2025-02-03 13:13:23","2025-02-03 13:14:03"
